Month,City,Units_Consumed,Tariff_Rate,Electricity_Bill
4,Hyderabad,458,8.4,3847.2
8,Dahej,466,7.6,3541.6
8,Hyderabad,456,8.4,3830.4
4,Mumbai,394,9.2,3624.8
10,Noida,263,8.2,2156.6
7,Mumbai,490,9.2,4508
12,Shimla,476,7.7,3665.2
5,Shimla,577,7.7,4442.9
3,Vadodara,533,7.8,4157.4
7,Navi Mumbai,495,9.3,4603.5
8,Shimla,399,7.7,3072.3
10,Kolkata,604,8.7,5254.8
9,Kolkata,653,8.7,5681.1
11,Noida,512,8.2,4198.4
8,Noida,468,8.2,3837.6
4,Kolkata,563,8.7,4898.1
9,Kolkata,496,8.7,4315.2
10,Hyderabad,500,8.4,4200
12,Hyderabad,502,8.4,4216.8
6,Shimla,616,7.7,4743.2
8,Faridabad,589,8.1,4770.9
6,Hyderabad,595,8.4,4998
9,Ahmedabad,487,7.9,3847.3
3,Ratnagiri,512,7.4,3788.8
2,Mumbai,405,9.2,3726
11,Hyderabad,388,8.4,3259.2
1,Mumbai,437,9.2,4020.4
3,New Delhi,656,8.5,5576
12,Hyderabad,300,8.4,2520
9,Dahej,523,7.6,3974.8
7,Hyderabad,565,8.4,4746
6,Shimla,561,7.7,4319.7
7,Mumbai,628,9.2,5777.6
11,Noida,560,8.2,4592
8,Hyderabad,425,8.4,3570
2,Vadodara,632,7.8,4929.6
9,Pune,560,9.1,5096
11,Faridabad,389,8.1,3150.9
2,Nagpur,576,8.9,5126.4
8,Dahej,340,7.6,2584
8,Hyderabad,417,8.4,3502.8
4,Navi Mumbai,503,9.3,4677.9
12,New Delhi,561,8.5,4768.5
8,Navi Mumbai,588,9.3,5468.4
10,Faridabad,584,8.1,4730.4
10,Chennai,771,8.8,6784.8
9,Noida,643,8.2,5272.6
3,Vadodara,552,7.8,4305.6
5,Chennai,683,8.8,6010.4
5,Vadodara,436,7.8,3400.8
7,Mumbai,681,9.2,6265.2
2,Kolkata,668,8.7,5811.6
10,Chennai,381,8.8,3352.8
10,Navi Mumbai,643,9.3,5979.9
1,Vadodara,495,7.8,3861
10,Noida,544,8.2,4460.8
5,Shimla,675,7.7,5197.5
6,Hyderabad,665,8.4,5586
2,Navi Mumbai,243,9.3,2259.9
9,Vadodara,735,7.8,5733
5,Pune,587,9.1,5341.7
9,Ahmedabad,287,7.9,2267.3
7,Ratnagiri,756,7.4,5594.4
8,Faridabad,460,8.1,3726
8,Mumbai,480,9.2,4416
7,Noida,345,8.2,2829
12,Pune,545,9.1,4959.5
4,Chennai,407,8.8,3581.6
1,Nagpur,389,8.9,3462.1
1,Noida,519,8.2,4255.8
9,Faridabad,662,8.1,5362.2
4,Gurgaon,302,8.3,2506.6
2,New Delhi,582,8.5,4947
1,Chennai,346,8.8,3044.8
3,Nagpur,506,8.9,4503.4
1,Faridabad,487,8.1,3944.7
12,New Delhi,476,8.5,4046
12,Pune,373,9.1,3394.3
10,Noida,599,8.2,4911.8
3,Navi Mumbai,422,9.3,3924.6
4,Dahej,351,7.6,2667.6
11,New Delhi,512,8.5,4352
4,Dahej,569,7.6,4324.4
7,Noida,776,8.2,6363.2
10,Faridabad,467,8.1,3782.7
3,Hyderabad,696,8.4,5846.4
12,Gurgaon,357,8.3,2963.1
12,Nagpur,325,8.9,2892.5
3,Nagpur,717,8.9,6381.3
4,Pune,419,9.1,3812.9
7,Vadodara,478,7.8,3728.4
7,Dahej,548,7.6,4164.8
4,Kolkata,508,8.7,4419.6
12,Vadodara,299,7.8,2332.2
7,Noida,537,8.2,4403.4
12,Mumbai,473,9.2,4351.6
10,Ahmedabad,449,7.9,3547.1
1,Shimla,618,7.7,4758.6
9,Noida,540,8.2,4428
4,Faridabad,530,8.1,4293
3,Chennai,578,8.8,5086.4
2,Ahmedabad,418,7.9,3302.2
2,Ratnagiri,406,7.4,3004.4
1,Navi Mumbai,521,9.3,4845.3
2,Ahmedabad,458,7.9,3618.2
2,Chennai,666,8.8,5860.8
8,Mumbai,325,9.2,2990
10,Navi Mumbai,684,9.3,6361.2
2,Pune,491,9.1,4468.1
12,Faridabad,528,8.1,4276.8
5,Dahej,742,7.6,5639.2
3,Navi Mumbai,768,9.3,7142.4
12,Kolkata,503,8.7,4376.1
11,Navi Mumbai,536,9.3,4984.8
1,Ratnagiri,472,7.4,3492.8
1,Dahej,634,7.6,4818.4
10,Hyderabad,384,8.4,3225.6
3,New Delhi,438,8.5,3723
7,Faridabad,701,8.1,5678.1
6,Gurgaon,462,8.3,3834.6
3,Ahmedabad,601,7.9,4747.9
9,Ratnagiri,408,7.4,3019.2
6,Hyderabad,463,8.4,3889.2
7,Hyderabad,602,8.4,5056.8
6,Shimla,635,7.7,4889.5
8,Shimla,563,7.7,4335.1
8,Nagpur,726,8.9,6461.4
12,Chennai,412,8.8,3625.6
12,Ahmedabad,675,7.9,5332.5
9,Mumbai,385,9.2,3542
10,Dahej,744,7.6,5654.4
4,Vadodara,410,7.8,3198
1,Dahej,591,7.6,4491.6
4,Chennai,521,8.8,4584.8
5,Chennai,596,8.8,5244.8
4,Gurgaon,415,8.3,3444.5
12,Vadodara,503,7.8,3923.4
10,Ahmedabad,526,7.9,4155.4
6,Nagpur,377,8.9,3355.3
3,Chennai,376,8.8,3308.8
6,Nagpur,724,8.9,6443.6
7,Faridabad,707,8.1,5726.7
11,Kolkata,365,8.7,3175.5
2,Gurgaon,308,8.3,2556.4
8,Kolkata,543,8.7,4724.1
3,Gurgaon,355,8.3,2946.5
9,Vadodara,502,7.8,3915.6
8,Gurgaon,455,8.3,3776.5
12,Ahmedabad,543,7.9,4289.7
11,Faridabad,461,8.1,3734.1
7,Chennai,412,8.8,3625.6
9,Hyderabad,633,8.4,5317.2
12,Pune,480,9.1,4368
5,Kolkata,348,8.7,3027.6
10,Vadodara,623,7.8,4859.4
3,Gurgaon,465,8.3,3859.5
6,Gurgaon,371,8.3,3079.3
11,Ahmedabad,561,7.9,4431.9
8,Chennai,673,8.8,5922.4
8,Ratnagiri,535,7.4,3959
4,Pune,513,9.1,4668.3
10,Ahmedabad,460,7.9,3634
8,Noida,483,8.2,3960.6
7,Hyderabad,370,8.4,3108
10,Hyderabad,678,8.4,5695.2
8,Shimla,459,7.7,3534.3
1,Dahej,717,7.6,5449.2
7,Chennai,617,8.8,5429.6
5,Navi Mumbai,488,9.3,4538.4
12,Ahmedabad,614,7.9,4850.6
11,Ratnagiri,556,7.4,4114.4
8,Kolkata,301,8.7,2618.7
4,Pune,569,9.1,5177.9
8,Chennai,527,8.8,4637.6
11,Vadodara,322,7.8,2511.6
6,Dahej,712,7.6,5411.2
10,Noida,442,8.2,3624.4
2,Noida,509,8.2,4173.8
1,Nagpur,648,8.9,5767.2
3,Chennai,394,8.8,3467.2
6,Mumbai,487,9.2,4480.4
2,Hyderabad,417,8.4,3502.8
12,Gurgaon,504,8.3,4183.2
9,Kolkata,503,8.7,4376.1
10,Vadodara,503,7.8,3923.4
4,New Delhi,514,8.5,4369
5,Dahej,741,7.6,5631.6
1,Vadodara,407,7.8,3174.6
11,Pune,522,9.1,4750.2
10,Dahej,506,7.6,3845.6
8,Chennai,420,8.8,3696
11,Ratnagiri,735,7.4,5439
11,Pune,577,9.1,5250.7
10,Pune,397,9.1,3612.7
7,Mumbai,640,9.2,5888
4,Nagpur,395,8.9,3515.5
5,Dahej,626,7.6,4757.6
7,Ratnagiri,749,7.4,5542.6
8,Hyderabad,594,8.4,4989.6
8,Nagpur,570,8.9,5073
9,Mumbai,719,9.2,6614.8
11,Mumbai,468,9.2,4305.6
6,Noida,589,8.2,4829.8
3,Dahej,689,7.6,5236.4
12,Pune,802,9.1,7298.2
2,Pune,650,9.1,5915
4,Hyderabad,308,8.4,2587.2
11,Gurgaon,743,8.3,6166.9
10,Chennai,528,8.8,4646.4
10,Vadodara,600,7.8,4680
9,Chennai,512,8.8,4505.6
4,New Delhi,491,8.5,4173.5
8,Chennai,486,8.8,4276.8
12,Gurgaon,267,8.3,2216.1
5,Kolkata,299,8.7,2601.3
3,Kolkata,449,8.7,3906.3
11,Kolkata,602,8.7,5237.4
1,Navi Mumbai,713,9.3,6630.9
11,Kolkata,626,8.7,5446.2
9,New Delhi,383,8.5,3255.5
3,Gurgaon,246,8.3,2041.8
2,Nagpur,564,8.9,5019.6
1,Noida,527,8.2,4321.4
8,Pune,515,9.1,4686.5
1,Ratnagiri,424,7.4,3137.6
5,Ratnagiri,427,7.4,3159.8
7,Chennai,568,8.8,4998.4
9,Navi Mumbai,647,9.3,6017.1
2,Vadodara,474,7.8,3697.2
1,Vadodara,485,7.8,3783
6,Navi Mumbai,426,9.3,3961.8
5,Noida,192,8.2,1574.4
8,Vadodara,408,7.8,3182.4
11,Pune,717,9.1,6524.7
12,Nagpur,576,8.9,5126.4
6,Faridabad,662,8.1,5362.2
4,Vadodara,403,7.8,3143.4
12,Noida,691,8.2,5666.2
6,Chennai,518,8.8,4558.4
6,Pune,311,9.1,2830.1
2,Noida,369,8.2,3025.8
7,Noida,585,8.2,4797
8,New Delhi,615,8.5,5227.5
4,Vadodara,496,7.8,3868.8
8,Ratnagiri,470,7.4,3478
8,Mumbai,601,9.2,5529.2
5,Faridabad,608,8.1,4924.8
4,Ratnagiri,536,7.4,3966.4
5,Hyderabad,505,8.4,4242
2,Noida,622,8.2,5100.4
4,Shimla,404,7.7,3110.8
2,Vadodara,427,7.8,3330.6
1,Gurgaon,450,8.3,3735
10,Chennai,706,8.8,6212.8
5,Kolkata,888,8.7,7725.6
12,Dahej,509,7.6,3868.4
11,Chennai,557,8.8,4901.6
11,New Delhi,572,8.5,4862
9,Ahmedabad,494,7.9,3902.6
4,Nagpur,508,8.9,4521.2
1,Shimla,542,7.7,4173.4
6,Vadodara,436,7.8,3400.8
5,Shimla,665,7.7,5120.5
2,Noida,362,8.2,2968.4
11,Shimla,658,7.7,5066.6
9,Mumbai,690,9.2,6348
8,Gurgaon,521,8.3,4324.3
11,New Delhi,474,8.5,4029
12,Ahmedabad,553,7.9,4368.7
7,Nagpur,462,8.9,4111.8
7,Gurgaon,584,8.3,4847.2
11,Shimla,387,7.7,2979.9
8,Ratnagiri,341,7.4,2523.4
4,Vadodara,375,7.8,2925
9,Hyderabad,610,8.4,5124
3,Dahej,485,7.6,3686
9,Mumbai,452,9.2,4158.4
12,Pune,605,9.1,5505.5
7,Dahej,508,7.6,3860.8
3,Noida,432,8.2,3542.4
6,Nagpur,445,8.9,3960.5
5,Chennai,376,8.8,3308.8
7,New Delhi,689,8.5,5856.5
9,Dahej,545,7.6,4142
12,Navi Mumbai,276,9.3,2566.8
2,Faridabad,512,8.1,4147.2
5,New Delhi,411,8.5,3493.5
12,Chennai,218,8.8,1918.4
12,Vadodara,446,7.8,3478.8
8,Ratnagiri,678,7.4,5017.2
11,Mumbai,749,9.2,6890.8
9,Navi Mumbai,477,9.3,4436.1
8,Kolkata,510,8.7,4437
12,New Delhi,552,8.5,4692
5,Noida,522,8.2,4280.4
10,Dahej,743,7.6,5646.8
8,Chennai,493,8.8,4338.4
5,Navi Mumbai,451,9.3,4194.3
11,New Delhi,582,8.5,4947
5,Vadodara,381,7.8,2971.8
2,Pune,395,9.1,3594.5
1,Hyderabad,508,8.4,4267.2
1,Ahmedabad,556,7.9,4392.4
1,Dahej,608,7.6,4620.8
10,Vadodara,598,7.8,4664.4
5,Nagpur,389,8.9,3462.1
11,Hyderabad,253,8.4,2125.2
1,Ahmedabad,429,7.9,3389.1
8,Shimla,683,7.7,5259.1
4,Mumbai,470,9.2,4324
2,Pune,472,9.1,4295.2
5,Dahej,376,7.6,2857.6
10,Gurgaon,558,8.3,4631.4
6,New Delhi,432,8.5,3672
2,Chennai,294,8.8,2587.2
6,Dahej,254,7.6,1930.4
2,Ahmedabad,460,7.9,3634
6,Kolkata,597,8.7,5193.9
7,Ratnagiri,548,7.4,4055.2
7,Hyderabad,411,8.4,3452.4
7,New Delhi,523,8.5,4445.5
10,Chennai,438,8.8,3854.4
9,Dahej,331,7.6,2515.6
7,Pune,372,9.1,3385.2
8,New Delhi,478,8.5,4063
8,Nagpur,607,8.9,5402.3
12,Chennai,323,8.8,2842.4
7,Dahej,236,7.6,1793.6
11,Noida,284,8.2,2328.8
1,Vadodara,484,7.8,3775.2
8,Vadodara,641,7.8,4999.8
6,Gurgaon,424,8.3,3519.2
8,Shimla,361,7.7,2779.7
11,Navi Mumbai,546,9.3,5077.8
11,Nagpur,524,8.9,4663.6
5,Noida,629,8.2,5157.8
3,Ratnagiri,664,7.4,4913.6
4,Mumbai,384,9.2,3532.8
9,Shimla,587,7.7,4519.9
8,Dahej,363,7.6,2758.8
2,Gurgaon,396,8.3,3286.8
9,New Delhi,421,8.5,3578.5
6,Navi Mumbai,477,9.3,4436.1
7,Nagpur,432,8.9,3844.8
12,Chennai,529,8.8,4655.2
11,New Delhi,600,8.5,5100
1,Pune,494,9.1,4495.4
2,Gurgaon,454,8.3,3768.2
4,Noida,492,8.2,4034.4
8,Nagpur,456,8.9,4058.4
11,Ratnagiri,655,7.4,4847
3,Mumbai,228,9.2,2097.6
12,Navi Mumbai,474,9.3,4408.2
1,Kolkata,661,8.7,5750.7
8,Shimla,611,7.7,4704.7
8,Ahmedabad,631,7.9,4984.9
3,Ratnagiri,532,7.4,3936.8
1,Dahej,523,7.6,3974.8
12,Kolkata,741,8.7,6446.7
8,Faridabad,553,8.1,4479.3
8,Shimla,638,7.7,4912.6
1,Vadodara,520,7.8,4056
11,Ahmedabad,539,7.9,4258.1
12,Nagpur,558,8.9,4966.2
10,Noida,598,8.2,4903.6
12,Noida,685,8.2,5617
6,Ratnagiri,456,7.4,3374.4
9,Faridabad,589,8.1,4770.9
5,Mumbai,469,9.2,4314.8
6,Hyderabad,509,8.4,4275.6
11,Shimla,590,7.7,4543
6,Navi Mumbai,646,9.3,6007.8
5,Hyderabad,535,8.4,4494
6,Faridabad,500,8.1,4050
1,Kolkata,419,8.7,3645.3
9,Faridabad,490,8.1,3969
9,Mumbai,627,9.2,5768.4
5,Shimla,465,7.7,3580.5
10,Ratnagiri,501,7.4,3707.4
11,Ahmedabad,487,7.9,3847.3
1,Hyderabad,503,8.4,4225.2
4,Ratnagiri,478,7.4,3537.2
7,Ratnagiri,328,7.4,2427.2
11,Dahej,528,7.6,4012.8
12,Gurgaon,660,8.3,5478
3,Chennai,475,8.8,4180
8,Hyderabad,490,8.4,4116
10,Hyderabad,400,8.4,3360
3,Gurgaon,722,8.3,5992.6
4,Noida,440,8.2,3608
3,Navi Mumbai,613,9.3,5700.9
5,Vadodara,493,7.8,3845.4
3,New Delhi,666,8.5,5661
8,Gurgaon,525,8.3,4357.5
5,Ratnagiri,280,7.4,2072
8,Navi Mumbai,543,9.3,5049.9
12,Ahmedabad,704,7.9,5561.6
10,Vadodara,513,7.8,4001.4
12,Ahmedabad,658,7.9,5198.2
8,Nagpur,552,8.9,4912.8
5,Ahmedabad,398,7.9,3144.2
6,Chennai,532,8.8,4681.6
4,Nagpur,557,8.9,4957.3
3,Dahej,476,7.6,3617.6
12,Faridabad,634,8.1,5135.4
5,Ahmedabad,733,7.9,5790.7
3,Gurgaon,552,8.3,4581.6
5,Noida,697,8.2,5715.4
4,Dahej,384,7.6,2918.4
12,Hyderabad,684,8.4,5745.6
12,Chennai,567,8.8,4989.6
9,Ahmedabad,585,7.9,4621.5
4,Dahej,539,7.6,4096.4
7,Navi Mumbai,563,9.3,5235.9
12,Dahej,582,7.6,4423.2
8,New Delhi,553,8.5,4700.5
8,Faridabad,508,8.1,4114.8
10,Faridabad,547,8.1,4430.7
4,Pune,452,9.1,4113.2
11,Noida,534,8.2,4378.8
9,Gurgaon,480,8.3,3984
1,Pune,590,9.1,5369
10,Pune,495,9.1,4504.5
5,Ahmedabad,557,7.9,4400.3
6,Kolkata,483,8.7,4202.1
4,Navi Mumbai,697,9.3,6482.1
12,Nagpur,486,8.9,4325.4
11,Hyderabad,561,8.4,4712.4
12,New Delhi,672,8.5,5712
4,Ahmedabad,501,7.9,3957.9
8,Faridabad,521,8.1,4220.1
11,Ahmedabad,227,7.9,1793.3
6,Navi Mumbai,474,9.3,4408.2
6,New Delhi,319,8.5,2711.5
3,Dahej,531,7.6,4035.6
4,Noida,532,8.2,4362.4
1,Dahej,715,7.6,5434
1,Noida,567,8.2,4649.4
2,Chennai,487,8.8,4285.6
11,Nagpur,350,8.9,3115
2,Faridabad,439,8.1,3555.9
11,Chennai,567,8.8,4989.6
4,Hyderabad,549,8.4,4611.6
7,Kolkata,525,8.7,4567.5
3,Ratnagiri,452,7.4,3344.8
9,Nagpur,564,8.9,5019.6
3,Dahej,532,7.6,4043.2
3,Nagpur,341,8.9,3034.9
3,Nagpur,294,8.9,2616.6
6,Shimla,398,7.7,3064.6
4,Nagpur,589,8.9,5242.1
9,Hyderabad,482,8.4,4048.8
5,Navi Mumbai,580,9.3,5394
7,Nagpur,715,8.9,6363.5
6,Hyderabad,298,8.4,2503.2
9,Gurgaon,541,8.3,4490.3
10,Nagpur,648,8.9,5767.2
9,Ahmedabad,493,7.9,3894.7
4,Shimla,614,7.7,4727.8
10,Nagpur,417,8.9,3711.3
8,Noida,356,8.2,2919.2
10,Chennai,451,8.8,3968.8
7,Nagpur,762,8.9,6781.8
11,Ahmedabad,361,7.9,2851.9
2,Faridabad,411,8.1,3329.1
4,Kolkata,631,8.7,5489.7
12,Gurgaon,389,8.3,3228.7
11,Kolkata,607,8.7,5280.9
1,Nagpur,700,8.9,6230
1,Hyderabad,444,8.4,3729.6
8,Kolkata,681,8.7,5924.7
9,Hyderabad,525,8.4,4410
1,Ratnagiri,517,7.4,3825.8
9,Kolkata,306,8.7,2662.2
10,Faridabad,838,8.1,6787.8
9,Vadodara,456,7.8,3556.8
6,Noida,448,8.2,3673.6
3,Hyderabad,389,8.4,3267.6
9,Hyderabad,495,8.4,4158
2,Pune,619,9.1,5632.9
6,Dahej,600,7.6,4560
2,Kolkata,589,8.7,5124.3
6,Gurgaon,812,8.3,6739.6
11,Nagpur,544,8.9,4841.6
12,Vadodara,464,7.8,3619.2
3,Kolkata,497,8.7,4323.9
8,Faridabad,388,8.1,3142.8
2,New Delhi,431,8.5,3663.5
9,Noida,587,8.2,4813.4
9,Noida,639,8.2,5239.8
9,Noida,611,8.2,5010.2
7,Vadodara,789,7.8,6154.2
2,Vadodara,493,7.8,3845.4
8,Ahmedabad,508,7.9,4013.2
2,Chennai,524,8.8,4611.2
11,Nagpur,533,8.9,4743.7
5,Navi Mumbai,451,9.3,4194.3
3,Vadodara,579,7.8,4516.2
1,Gurgaon,431,8.3,3577.3
11,Mumbai,443,9.2,4075.6
4,New Delhi,593,8.5,5040.5
8,Faridabad,734,8.1,5945.4
6,New Delhi,685,8.5,5822.5
9,Nagpur,493,8.9,4387.7
4,Vadodara,703,7.8,5483.4
1,Noida,650,8.2,5330
2,Pune,641,9.1,5833.1
11,Faridabad,735,8.1,5953.5
4,Nagpur,470,8.9,4183
11,Ratnagiri,511,7.4,3781.4
2,Ratnagiri,352,7.4,2604.8
9,Navi Mumbai,512,9.3,4761.6
8,Ratnagiri,677,7.4,5009.8
1,New Delhi,663,8.5,5635.5
3,Vadodara,733,7.8,5717.4
3,Chennai,599,8.8,5271.2
12,Nagpur,302,8.9,2687.8
11,Mumbai,441,9.2,4057.2
12,Kolkata,367,8.7,3192.9
10,Ratnagiri,739,7.4,5468.6
1,New Delhi,422,8.5,3587
2,New Delhi,365,8.5,3102.5
7,Navi Mumbai,617,9.3,5738.1
11,New Delhi,569,8.5,4836.5
7,Vadodara,452,7.8,3525.6
3,New Delhi,373,8.5,3170.5
12,Shimla,547,7.7,4211.9
9,Gurgaon,487,8.3,4042.1
8,Chennai,382,8.8,3361.6
4,Hyderabad,546,8.4,4586.4
12,Hyderabad,712,8.4,5980.8
10,Kolkata,589,8.7,5124.3
5,Dahej,308,7.6,2340.8
3,Dahej,488,7.6,3708.8
4,Kolkata,334,8.7,2905.8
3,Mumbai,572,9.2,5262.4
12,Hyderabad,522,8.4,4384.8
5,Vadodara,456,7.8,3556.8
6,Shimla,709,7.7,5459.3
11,Pune,677,9.1,6160.7
7,Chennai,518,8.8,4558.4
1,Navi Mumbai,487,9.3,4529.1
3,Pune,819,9.1,7452.9
1,Dahej,545,7.6,4142
1,Hyderabad,691,8.4,5804.4
12,Faridabad,477,8.1,3863.7
7,Nagpur,603,8.9,5366.7
12,Gurgaon,589,8.3,4888.7
6,Hyderabad,470,8.4,3948
9,Vadodara,563,7.8,4391.4
1,Chennai,341,8.8,3000.8
4,Kolkata,634,8.7,5515.8
5,Navi Mumbai,499,9.3,4640.7
4,Chennai,352,8.8,3097.6
10,Faridabad,686,8.1,5556.6
12,Hyderabad,306,8.4,2570.4
12,Shimla,618,7.7,4758.6
10,Noida,673,8.2,5518.6
7,Chennai,397,8.8,3493.6
2,Noida,591,8.2,4846.2
2,Ahmedabad,371,7.9,2930.9
1,Kolkata,455,8.7,3958.5
11,Faridabad,477,8.1,3863.7
5,Ahmedabad,653,7.9,5158.7
2,Noida,505,8.2,4141
12,Kolkata,640,8.7,5568
5,Nagpur,674,8.9,5998.6
11,Hyderabad,481,8.4,4040.4
12,Shimla,363,7.7,2795.1
4,Shimla,369,7.7,2841.3
6,Pune,410,9.1,3731
12,Faridabad,503,8.1,4074.3
6,Shimla,693,7.7,5336.1
8,Pune,274,9.1,2493.4
2,Navi Mumbai,213,9.3,1980.9
1,Faridabad,404,8.1,3272.4
3,Noida,532,8.2,4362.4
10,Chennai,382,8.8,3361.6
5,Mumbai,726,9.2,6679.2
12,Kolkata,727,8.7,6324.9
5,Navi Mumbai,788,9.3,7328.4
4,Kolkata,589,8.7,5124.3
9,Ahmedabad,457,7.9,3610.3
4,Noida,610,8.2,5002
6,Navi Mumbai,412,9.3,3831.6
2,Navi Mumbai,608,9.3,5654.4
11,Shimla,465,7.7,3580.5
5,Kolkata,344,8.7,2992.8
3,New Delhi,415,8.5,3527.5
5,Pune,546,9.1,4968.6
6,New Delhi,477,8.5,4054.5
2,Vadodara,642,7.8,5007.6
8,Navi Mumbai,517,9.3,4808.1
12,Noida,489,8.2,4009.8
2,New Delhi,635,8.5,5397.5
11,Ahmedabad,517,7.9,4084.3
5,New Delhi,489,8.5,4156.5
3,Mumbai,625,9.2,5750
12,Kolkata,505,8.7,4393.5
9,Shimla,404,7.7,3110.8
12,Dahej,344,7.6,2614.4
4,Ratnagiri,645,7.4,4773
2,Noida,419,8.2,3435.8
11,Chennai,536,8.8,4716.8
9,Dahej,606,7.6,4605.6
8,Shimla,586,7.7,4512.2
5,Faridabad,498,8.1,4033.8
8,Vadodara,596,7.8,4648.8
8,Faridabad,668,8.1,5410.8
3,Chennai,884,8.8,7779.2
3,Vadodara,310,7.8,2418
7,Nagpur,816,8.9,7262.4
10,Kolkata,668,8.7,5811.6
3,Ahmedabad,677,7.9,5348.3
12,Noida,518,8.2,4247.6
4,Navi Mumbai,391,9.3,3636.3
2,Faridabad,502,8.1,4066.2
11,Ahmedabad,364,7.9,2875.6
8,Kolkata,486,8.7,4228.2
9,New Delhi,580,8.5,4930
6,New Delhi,702,8.5,5967
8,Hyderabad,537,8.4,4510.8
10,Nagpur,386,8.9,3435.4
7,Vadodara,474,7.8,3697.2
11,New Delhi,479,8.5,4071.5
11,Navi Mumbai,523,9.3,4863.9
9,Pune,483,9.1,4395.3
4,Navi Mumbai,273,9.3,2538.9
2,Pune,398,9.1,3621.8
7,Mumbai,286,9.2,2631.2
10,Noida,710,8.2,5822
8,Mumbai,602,9.2,5538.4
1,Nagpur,612,8.9,5446.8
4,Faridabad,447,8.1,3620.7
5,Navi Mumbai,560,9.3,5208
12,Shimla,534,7.7,4111.8
11,Kolkata,553,8.7,4811.1
9,Navi Mumbai,466,9.3,4333.8
11,Hyderabad,496,8.4,4166.4
5,Nagpur,494,8.9,4396.6
7,New Delhi,714,8.5,6069
4,Shimla,309,7.7,2379.3
12,Mumbai,445,9.2,4094
11,Kolkata,690,8.7,6003
5,Vadodara,350,7.8,2730
1,Navi Mumbai,561,9.3,5217.3
9,Navi Mumbai,480,9.3,4464
1,Hyderabad,669,8.4,5619.6
8,Vadodara,434,7.8,3385.2
9,Chennai,721,8.8,6344.8
1,New Delhi,577,8.5,4904.5
12,Shimla,732,7.7,5636.4
3,Noida,666,8.2,5461.2
4,Ahmedabad,562,7.9,4439.8
5,Vadodara,609,7.8,4750.2
9,Gurgaon,676,8.3,5610.8
5,Gurgaon,311,8.3,2581.3
10,Ahmedabad,467,7.9,3689.3
6,Faridabad,481,8.1,3896.1
12,Chennai,409,8.8,3599.2
1,Ratnagiri,587,7.4,4343.8
3,Gurgaon,451,8.3,3743.3
4,Chennai,281,8.8,2472.8
12,Shimla,317,7.7,2440.9
10,Mumbai,472,9.2,4342.4
5,Mumbai,551,9.2,5069.2
11,Shimla,500,7.7,3850
12,New Delhi,439,8.5,3731.5
5,Vadodara,699,7.8,5452.2
5,Hyderabad,623,8.4,5233.2
9,Chennai,490,8.8,4312
9,Ratnagiri,495,7.4,3663
5,Gurgaon,599,8.3,4971.7
3,Kolkata,418,8.7,3636.6
9,Mumbai,581,9.2,5345.2
9,Kolkata,507,8.7,4410.9
7,Chennai,362,8.8,3185.6
9,Kolkata,726,8.7,6316.2
7,Noida,427,8.2,3501.4
8,Chennai,432,8.8,3801.6
8,Kolkata,628,8.7,5463.6
11,Shimla,313,7.7,2410.1
